Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size,Cluster
Male,19,-2.09350094834918,-0.4283385393902162,5,1,0.11749743611591194,0
Male,21,-1.6561331190220885,1.0755459876224553,2,3,-0.3900508840392152,0
Female,20,-0.5408451542380048,-1.6099620963287438,2,1,-1.4051475243494693,0
Female,23,-1.1312917238295785,0.9323188898117246,7,0,-0.8975992041943422,0
Female,31,-1.5905279446230247,-0.39253176493753356,3,2,1.1325940764261662,0
Female,22,-1.1531601152959332,0.896512115359042,0,0,-0.8975992041943422,0
Female,35,-1.743606684887507,-1.6099620963287438,5,1,-0.3900508840392152,0
Female,23,-0.584581937170714,1.5410340555073296,5,1,-0.3900508840392152,0
Male,64,-0.30029284810810447,-1.7173824196867917,2,0,-0.3900508840392152,0
Female,30,-0.2784244566417499,0.7532850175483113,0,1,0.11749743611591194,0
Male,67,-2.2684480800800166,-1.3235079007072825,2,1,-0.3900508840392152,0
Female,35,-0.3877664139735228,1.720067927770743,5,4,0.11749743611591194,0
Female,58,-0.6720555030361324,-1.2877011262545999,4,0,0.6250457562710391,0
Female,24,-0.43150319690623196,0.9323188898117246,7,1,-1.4051475243494693,0
Male,37,-2.006027382483762,-1.3593146751599652,1,0,-1.4051475243494693,0
Male,22,-1.3062388555604152,1.00393243871709,5,1,-0.8975992041943422,0
Female,35,-1.787343467820216,-0.5715656372009468,6,9,0.6250457562710391,1
Male,20,-0.4752399798389411,0.5384443708322154,5,1,1.1325940764261662,0
Male,52,-1.9841589910174071,-0.7864062839170427,3,1,0.11749743611591194,0
Female,35,-1.0656865494305148,1.6842611533180603,0,0,-1.4051475243494693,0
Male,35,-0.3221612395744591,-0.5715656372009468,6,12,-1.4051475243494693,1
Male,25,-2.3340532544790804,0.789091792000994,5,3,0.11749743611591194,0
Female,46,-1.5030543787576065,-1.6457688707814264,0,13,-0.8975992041943422,1
Male,31,-0.8688710262333236,0.789091792000994,0,5,-0.8975992041943422,1
Female,54,-0.9563445920987419,-1.3235079007072825,4,1,-0.3900508840392152,0
Male,29,-1.2843704640940605,1.111352762075138,0,1,-0.3900508840392152,0
Female,45,-0.9344762006323873,-0.6789859605589947,5,9,2.1476907167364208,1
Male,35,-0.7157922859688415,0.3594104985688022,0,1,-0.3900508840392152,0
Female,40,-2.0278957739501164,-0.7147927350116774,0,0,-1.4051475243494693,0
Female,23,-1.9841589910174071,1.2903866343385513,0,5,0.11749743611591194,1
Male,60,-1.5686595531566703,-1.681575645234109,0,0,-0.3900508840392152,0
